City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
168,Jieshi,22.8134,115.8257,64.81,76,6,9.24,CN,2022-12-08 15:42:12
169,Hay River,60.8156,-115.7999,-9.42,70,100,8.05,CA,2022-12-08 15:42:12
170,Esperance,-33.8667,121.9,62.96,83,0,4.79,AU,2022-12-08 15:42:13
171,Lavrentiya,65.5833,-171.0,6.91,78,5,6.98,RU,2022-12-08 15:37:42
172,Puerto Ayora,-0.7393,-90.3518,76.96,91,91,5.99,EC,2022-12-08 15:42:14
173,Atambua,-9.1061,124.8925,73.47,85,99,3.65,ID,2022-12-08 15:42:14
174,Meulaboh,4.1363,96.1285,74.73,94,100,6.93,ID,2022-12-08 15:38:12
175,Rio Grande,-32.035,-52.0986,93.31,59,2,9.44,BR,2022-12-08 15:42:15
176,Kuching,1.55,110.3333,79.09,88,40,2.3,MY,2022-12-08 15:42:15
177,Faanui,-16.4833,-151.75,80.46,77,73,15.32,PF,2022-12-08 15:42:16
178,Ilulissat,69.2167,-51.1,35.62,48,75,18.41,GL,2022-12-08 15:42:16
179,Karratha,-20.7377,116.8463,79.38,65,0,17.11,AU,2022-12-08 15:42:17
180,Taldan,53.6667,124.8,-14.24,99,97,2.24,RU,2022-12-08 15:42:18
181,Deputatskiy,69.3,139.9,-39.21,99,69,4.52,RU,2022-12-08 15:42:23
182,Wuchi,29.3786,103.023,34.84,95,100,2.51,CN,2022-12-08 15:42:24
183,Muyezerskiy,63.9333,31.65,18.27,94,100,8.25,RU,2022-12-08 15:42:24
184,Whitecourt,54.1502,-115.6855,6.04,85,100,0.0,CA,2022-12-08 15:38:06
185,Pevek,69.7008,170.3133,-20.81,97,38,3.96,RU,2022-12-08 15:42:25
186,Grindavik,63.8424,-22.4338,31.95,74,75,16.11,IS,2022-12-08 15:42:25
187,Marica,-22.9194,-42.8186,82.35,78,31,11.23,BR,2022-12-08 15:42:26
188,Fort Nelson,58.8053,-122.7002,-6.21,77,75,3.44,CA,2022-12-08 15:42:26
189,Tahoua,14.8888,5.2692,91.38,8,0,11.5,NE,2022-12-08 15:42:27
190,Cabanas,22.9758,-82.9219,79.34,57,13,13.94,CU,2022-12-08 15:42:27
191,Saint-Philippe,-21.3585,55.7679,78.39,84,39,14.58,RE,2022-12-08 15:42:27
192,Kaka,37.3482,59.6143,35.8,45,56,5.12,TM,2022-12-08 15:42:28
193,Polunochnoye,60.8697,60.4153,17.35,73,100,7.43,RU,2022-12-08 15:42:28
194,Prince Rupert,54.3161,-130.3201,38.89,89,100,35.68,CA,2022-12-08 15:42:29
195,Padang,-0.9492,100.3543,74.37,95,100,2.48,ID,2022-12-08 15:39:34
196,Honningsvag,70.9821,25.9704,34.11,72,91,30.89,NO,2022-12-08 15:42:29
197,Sur,22.5667,59.5289,75.87,58,0,5.41,OM,2022-12-08 15:42:29
198,Guanay,-15.4975,-67.8797,95.4,35,96,3.02,BO,2022-12-08 15:42:30
199,Tangua,-22.7303,-42.7142,79.77,71,64,9.15,BR,2022-12-08 15:37:41
200,Lucea,18.451,-78.1736,82.85,61,12,18.99,JM,2022-12-08 15:42:30
201,Okhotsk,59.3833,143.3,-16.01,83,99,10.2,RU,2022-12-08 15:42:31
202,Bubaque,11.2833,-15.8333,81.54,67,0,9.31,GW,2022-12-08 15:42:31
203,Port Hawkesbury,45.6169,-61.3485,44.91,99,100,18.41,CA,2022-12-08 15:42:32
204,Ancud,-41.8697,-73.8203,58.35,89,100,20.42,CL,2022-12-08 15:42:32
205,Cidreira,-30.1811,-50.2056,78.67,63,12,11.21,BR,2022-12-08 15:42:32
206,Mufumbwe,-13.6833,24.8,70.77,78,92,3.56,ZM,2022-12-08 15:42:33
207,Collie,-33.3667,116.15,52.81,98,14,3.09,AU,2022-12-08 15:42:33
208,Hilo,19.7297,-155.09,73.27,96,100,4.61,US,2022-12-08 15:42:34
209,Longyearbyen,78.2186,15.6401,22.84,63,75,3.44,SJ,2022-12-08 15:41:35
210,Bilma,18.6853,12.9164,77.36,13,0,5.75,NE,2022-12-08 15:42:34
211,Derby,52.9228,-1.4766,38.14,66,0,4.61,GB,2022-12-08 15:42:35
212,Nhulunbuy,-12.2333,136.7667,77.61,83,68,0.0,AU,2022-12-08 15:42:35
213,Maumere,-8.6199,122.2111,80.08,80,100,4.12,ID,2022-12-08 15:42:35
214,Ayagoz,47.9714,80.4392,-4.29,91,100,3.27,KZ,2022-12-08 15:42:36
215,Kirakira,-10.4544,161.9205,79.27,83,89,1.79,SB,2022-12-08 15:42:36
216,Gouyave,12.1646,-61.7296,83.17,61,20,5.75,GD,2022-12-08 15:42:37
217,Tumpat,6.1978,102.171,80.58,83,20,6.91,MY,2022-12-08 15:42:37
218,Yueyang,29.3333,113.0919,47.39,72,4,5.17,CN,2022-12-08 15:42:37
219,Chumikan,54.7183,135.315,3.04,74,97,22.95,RU,2022-12-08 15:42:38
220,Mitsamiouli,-11.3847,43.2844,82.69,78,20,0.0,KM,2022-12-08 15:42:38
221,Altamira,-3.2033,-52.2064,93.78,40,100,4.29,BR,2022-12-08 15:42:39
222,Matay,28.419,30.7792,67.69,34,53,4.34,EG,2022-12-08 15:42:39
223,Takab,36.4009,47.1133,33.48,66,96,1.88,IR,2022-12-08 15:42:39
224,Bentiu,9.2333,29.8333,85.12,26,99,5.21,SS,2022-12-08 15:42:40
225,Nuevitas,21.5453,-77.2644,78.24,61,70,13.87,CU,2022-12-08 15:42:40
