City_ID,City,Country,Lat,Lng,Cloudiness,Humidity,Max_Temp,Wind Speed,Description
127,North Bend,US,43.4065,-124.2243,100,100,44.17,11.5,overcast clouds
128,Amazar,RU,53.858,120.875,100,93,-3.51,1.54,overcast clouds
129,Mbinga,TZ,-10.9333,35.0167,86,96,60.21,1.45,moderate rain
130,Hermanus,ZA,-34.4187,19.2345,90,87,68.81,15.59,light rain
131,Berlevag,NO,70.8578,29.0864,20,63,21.2,5.75,few clouds
132,Chitral,PK,35.8462,71.7858,100,58,35.28,5.91,overcast clouds
133,Ulaangom,MN,49.9811,92.0667,100,97,-10.05,1.83,overcast clouds
134,Yenagoa,NG,4.9247,6.2642,99,91,77.32,3.53,overcast clouds
135,Sharjah,AE,25.3573,55.4033,20,64,75.18,11.5,few clouds
136,Coihaique,CL,-45.5752,-72.0662,75,93,48.81,3.44,light rain
137,Galesong,ID,-5.3166,119.3661,99,67,84.22,2.46,overcast clouds
138,Mwingi,KE,-0.9344,38.0601,100,96,64.35,0.4,overcast clouds
139,Hasaki,JP,35.7333,140.8333,63,68,59.29,13.35,light rain
140,Susanville,US,40.4163,-120.653,100,94,37.11,3.0,snow
141,Beloha,MG,-25.1667,45.05,77,87,71.13,6.85,broken clouds
142,Thompson,CA,55.7435,-97.8558,100,93,17.76,2.3,overcast clouds
143,Provideniya,RU,64.3833,-173.3,100,99,31.66,2.17,light snow
144,Mecca,SA,21.4267,39.8261,10,57,74.93,0.18,clear sky
145,Beberibe,BR,-4.1797,-38.1306,6,80,78.62,10.13,clear sky
146,Cavarzere,IT,45.1356,12.0817,100,85,46.06,12.68,overcast clouds
147,Almaznyy,RU,48.0448,40.045,100,92,36.68,15.05,light rain
148,Bam,IR,29.106,58.357,8,56,45.14,3.0,clear sky
149,Glenwood Springs,US,39.5505,-107.3248,75,64,36.63,17.27,broken clouds
150,Grand Gaube,MU,-20.0064,57.6608,14,73,76.37,1.01,few clouds
151,Avarua,CK,-21.2078,-159.775,75,65,78.85,9.22,light rain
152,Cidreira,BR,-30.1811,-50.2056,100,89,73.29,9.35,overcast clouds
153,Quatre Cocos,MU,-20.2078,57.7625,37,78,76.08,10.98,scattered clouds
154,Tessalit,ML,20.1986,1.0114,0,16,67.28,9.01,clear sky
155,Kapaa,US,22.0752,-159.319,20,70,80.92,16.11,few clouds
156,Akdagmadeni,TR,39.6603,35.8836,98,63,42.55,5.3,overcast clouds
157,Isla Vista,US,34.4133,-119.861,100,89,58.82,9.22,moderate rain
158,Cherskiy,RU,68.75,161.3,100,96,-25.47,5.84,overcast clouds
159,Ziway,ET,7.9333,38.7167,0,55,60.15,10.0,clear sky
160,Neiafu,TO,-18.65,-173.9833,40,74,86.68,6.91,scattered clouds
161,Pisco,PE,-13.7,-76.2167,100,83,68.05,3.44,mist
162,Bandarbeyla,SO,9.4942,50.8122,81,72,74.23,14.34,broken clouds
163,Carutapera,BR,-1.195,-46.02,9,86,77.72,6.76,clear sky
164,Lebu,CL,-37.6167,-73.65,1,81,58.35,12.75,clear sky
165,Fort Saint James,CA,54.4333,-124.25,100,95,14.83,4.45,light snow
166,Russell,US,32.3502,-85.1999,100,88,60.08,6.91,overcast clouds
167,Tuatapere,NZ,-46.1333,167.6833,33,74,62.29,6.08,scattered clouds
168,Luba,GQ,3.4568,8.5547,100,82,76.89,3.69,overcast clouds
169,Maracacume,BR,-2.0428,-45.9592,5,89,73.8,1.61,clear sky
170,Tolaga Bay,NZ,-38.3667,178.3,100,54,76.14,7.67,overcast clouds
171,Kavaratti,IN,10.5669,72.642,13,72,81.28,16.75,few clouds
172,Campbell River,CA,50.0163,-125.2446,100,100,40.44,3.44,mist
173,Soyo,AO,-6.1349,12.3689,97,86,78.06,7.4,overcast clouds
174,Port Hardy,CA,50.6996,-127.4199,75,87,41.18,9.22,light rain
175,Moctezuma,MX,29.8,-109.6667,0,26,59.83,0.89,clear sky
176,Hobart,AU,-42.8794,147.3294,75,71,64.26,12.66,light rain
177,East London,ZA,-33.0153,27.9116,100,94,71.04,7.94,light rain
178,Balikpapan,ID,-1.2675,116.8289,20,70,85.19,6.91,few clouds
179,Qingdao,CN,36.0986,120.3719,0,55,35.2,11.18,clear sky
180,Marawi,PH,7.9986,124.2928,100,65,78.71,4.38,overcast clouds
181,Chabahar,IR,25.2919,60.643,77,73,69.58,7.63,light rain
182,Bilma,NE,18.6853,12.9164,10,16,66.43,8.48,clear sky
183,Karratha,AU,-20.7377,116.8463,1,18,99.81,11.34,clear sky
184,Clyde River,CA,70.4692,-68.5914,0,76,-16.37,6.91,clear sky
185,Nanortalik,GL,60.1432,-45.2371,3,74,22.82,9.01,clear sky
186,Mar Del Plata,AR,-38.0023,-57.5575,0,50,69.94,5.75,light rain
187,Lagoa,PT,39.05,-27.9833,100,78,63.88,39.44,overcast clouds
188,Port Hedland,AU,-20.3167,118.5667,9,11,105.85,16.11,clear sky
189,Port Macquarie,AU,-31.4333,152.9167,5,57,82.89,14.14,clear sky
190,Houma,US,29.5958,-90.7195,72,91,71.6,4.0,broken clouds
191,Shahr-E Kord,IR,32.3256,50.8644,75,100,31.77,4.61,mist
192,Nago,JP,26.5881,127.9761,77,70,75.63,18.66,broken clouds
193,Chiang Klang,TH,19.2938,100.8617,6,71,77.02,1.28,clear sky
194,Ribeira Grande,PT,38.5167,-28.7,28,85,65.77,30.0,light rain
195,Requena,ES,39.4883,-1.1004,100,79,49.51,18.12,overcast clouds
196,San Patricio,US,28.017,-97.5169,100,89,75.06,10.02,overcast clouds
197,Kahului,US,20.8947,-156.47,20,66,80.62,19.57,few clouds
198,Shakhta,RU,59.0927,57.653,100,72,11.86,3.0,light snow
199,Khatanga,RU,71.9667,102.5,100,97,-8.77,12.64,overcast clouds
200,Faanui,PF,-16.4833,-151.75,100,74,76.51,9.01,light rain
201,Lorengau,PG,-2.0226,147.2712,100,68,84.42,2.17,overcast clouds
202,Qinzhou,CN,21.95,108.6167,100,53,58.62,12.17,overcast clouds
203,Palmer,US,42.1584,-72.3287,100,71,32.25,1.99,overcast clouds
204,Senj,HR,44.9894,14.9058,98,83,48.87,14.94,overcast clouds
205,Torbay,CA,47.6666,-52.7314,100,97,36.75,21.0,light rain
206,Ciudad Bolivar,VE,8.1222,-63.5497,97,65,79.47,10.63,overcast clouds
207,Coruripe,BR,-10.1256,-36.1756,100,88,77.38,10.8,overcast clouds
208,Bakchar,RU,57.0186,82.0711,100,94,-9.36,3.65,overcast clouds
209,Pawai,IN,24.2667,80.1667,18,47,57.02,2.15,few clouds
210,Turinsk,RU,58.0458,63.696,100,97,14.72,3.38,overcast clouds
211,Leningradskiy,RU,69.3833,178.4167,100,98,-4.04,6.85,light snow
212,Vanimo,PG,-2.6741,141.3028,94,66,85.82,4.34,overcast clouds
213,Grindavik,IS,63.8424,-22.4338,0,69,30.67,13.8,clear sky
214,Sisimiut,GL,66.9395,-53.6735,96,79,22.28,4.83,overcast clouds
215,San Ignacio,BZ,17.1561,-89.0714,0,100,68.14,0.0,clear sky
216,Longonjo,AO,-12.9067,15.2533,96,95,60.89,0.47,light rain
217,Neyshabur,IR,36.2133,58.7958,6,56,31.28,1.05,clear sky
218,Kruisfontein,ZA,-34.0033,24.7314,100,98,68.88,8.14,light rain
219,Cayenne,GF,4.9333,-52.3333,75,94,75.24,0.0,broken clouds
220,Lufilufi,WS,-13.8745,-171.5986,9,76,82.18,12.62,clear sky
221,Buala,SB,-8.145,159.5921,100,70,83.66,5.41,overcast clouds
222,Tarauaca,BR,-8.1614,-70.7656,76,97,72.61,2.39,broken clouds
223,Manoel Urbano,BR,-8.8389,-69.2597,95,79,77.99,2.77,overcast clouds
224,Barra Do Bugres,BR,-15.0725,-57.1811,100,80,76.03,3.83,overcast clouds
225,West Bay,KY,19.3667,-81.4167,20,79,78.87,11.5,few clouds
226,Te Anau,NZ,-45.4167,167.7167,44,60,65.1,4.27,scattered clouds
227,Veere,NL,51.5483,3.6667,100,95,36.0,12.66,light snow
228,Lahaina,US,20.8783,-156.6825,4,81,80.6,16.37,clear sky
229,Seddon,AU,-37.8068,144.8916,0,33,86.67,31.07,clear sky
230,Ellensburg,US,46.9965,-120.5479,100,94,35.46,0.0,fog
231,Baruun-Urt,MN,46.6806,113.2792,100,62,6.21,12.37,overcast clouds
232,Hithadhoo,MV,-0.6,73.0833,100,77,81.86,13.71,overcast clouds
233,Farmington,US,36.7281,-108.2187,0,34,39.2,5.99,clear sky
234,Lompoc,US,34.6391,-120.4579,100,96,57.78,25.32,overcast clouds
235,Kodiak,US,57.79,-152.4072,100,80,33.31,3.44,overcast clouds
236,Bethel,US,41.3712,-73.414,100,74,34.75,6.58,overcast clouds
237,Kavieng,PG,-2.5744,150.7967,97,72,83.44,6.67,light rain
238,Nouadhibou,MR,20.931,-17.0347,2,84,68.16,14.74,clear sky
239,Wanning,CN,18.8003,110.3967,97,65,70.36,13.31,overcast clouds
240,Nongstoin,IN,25.5167,91.2667,2,50,56.07,1.66,clear sky
241,Noumea,NC,-22.2763,166.4572,44,99,88.0,10.18,scattered clouds
242,Port Alfred,ZA,-33.5906,26.891,100,98,70.18,1.99,light rain
